available_markets,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,uri
"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DE', 'EC', 'EE', 'SV', 'FI', 'FR', 'GR', 'GT', 'HN', 'HK', 'HU', 'IS', 'IE', 'IT', 'LV', 'LT', 'LU', 'MY', 'MT', 'MX', 'NL', 'NZ', 'NI', 'NO', 'PA', 'PY', 'PE', 'PH', 'PL', 'PT', 'SG', 'SK', 'ES', 'SE', 'CH', 'TW', 'TR', 'UY', 'US', 'GB', 'AD', 'LI', 'MC', 'ID', 'JP', 'TH', 'VN', 'RO', 'IL', 'ZA', 'SA', 'AE', 'BH', 'QA', 'OM', 'KW', 'EG', 'MA', 'DZ', 'TN', 'LB', 'JO', 'PS', 'IN', 'BY', 'KZ', 'MD', 'UA', 'AL', 'BA', 'HR', 'ME', 'MK', 'RS', 'SI', 'KR', 'BD', 'PK', 'LK', 'GH', 'KE', 'NG', 'TZ', 'UG', 'AG', 'AM', 'BS', 'BB', 'BZ', 'BT', 'BW', 'BF', 'CV', 'CW', 'DM', 'FJ', 'GM', 'GE', 'GD', 'GW', 'GY', 'HT', 'JM', 'KI', 'LS', 'LR', 'MW', 'MV', 'ML', 'MH', 'FM', 'NA', 'NR', 'NE', 'PW', 'PG', 'WS', 'SM', 'ST', 'SN', 'SC', 'SL', 'SB', 'KN', 'LC', 'VC', 'SR', 'TL', 'TO', 'TT', 'TV', 'VU', 'AZ', 'BN', 'BI', 'KH', 'CM', 'TD', 'KM', 'GQ', 'SZ', 'GA', 'GN', 'KG', 'LA', 'MO', 'MR', 'MN', 'NP', 'RW', 'TG', 'UZ', 'ZW', 'BJ', 'MG', 'MU', 'MZ', 'AO', 'CI', 'DJ', 'ZM', 'CD', 'CG', 'IQ', 'LY', 'TJ', 'VE', 'ET', 'XK']",{'spotify': 'https://open.spotify.com/album/1pzvBxYgT6OVwJLtHkrdQK'},https://api.spotify.com/v1/albums/1pzvBxYgT6OVwJLtHkrdQK,1pzvBxYgT6OVwJLtHkrdQK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c288028c2592f400dd0b9233', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c288028c2592f400dd0b9233', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c288028c2592f400dd0b9233', 'width': 64}]",folklore (deluxe version),2020-08-18,day,17,spotify:album:1pzvBxYgT6OVwJLtHkrdQK
"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DE', 'EC', 'EE', 'SV', 'FI', 'FR', 'GR', 'GT', 'HN', 'HK', 'HU', 'IS', 'IE', 'IT', 'LV', 'LT', 'LU', 'MY', 'MT', 'MX', 'NL', 'NZ', 'NI', 'NO', 'PA', 'PY', 'PE', 'PH', 'PL', 'PT', 'SG', 'SK', 'ES', 'SE', 'CH', 'TW', 'TR', 'UY', 'US', 'GB', 'AD', 'LI', 'MC', 'ID', 'JP', 'TH', 'VN', 'RO', 'IL', 'ZA', 'SA', 'AE', 'BH', 'QA', 'OM', 'KW', 'EG', 'MA', 'DZ', 'TN', 'LB', 'JO', 'PS', 'IN', 'BY', 'KZ', 'MD', 'UA', 'AL', 'BA', 'HR', 'ME', 'MK', 'RS', 'SI', 'KR', 'BD', 'PK', 'LK', 'GH', 'KE', 'NG', 'TZ', 'UG', 'AG', 'AM', 'BS', 'BB', 'BZ', 'BT', 'BW', 'BF', 'CV', 'CW', 'DM', 'FJ', 'GM', 'GE', 'GD', 'GW', 'GY', 'HT', 'JM', 'KI', 'LS', 'LR', 'MW', 'MV', 'ML', 'MH', 'FM', 'NA', 'NR', 'NE', 'PW', 'PG', 'WS', 'SM', 'ST', 'SN', 'SC', 'SL', 'SB', 'KN', 'LC', 'VC', 'SR', 'TL', 'TO', 'TT', 'TV', 'VU', 'AZ', 'BN', 'BI', 'KH', 'CM', 'TD', 'KM', 'GQ', 'SZ', 'GA', 'GN', 'KG', 'LA', 'MO', 'MR', 'MN', 'NP', 'RW', 'TG', 'UZ', 'ZW', 'BJ', 'MG', 'MU', 'MZ', 'AO', 'CI', 'DJ', 'ZM', 'CD', 'CG', 'IQ', 'LY', 'TJ', 'VE', 'ET', 'XK']",{'spotify': 'https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr'},https://api.spotify.com/v1/albums/2fenSS68JI1h4Fo296JfGr,2fenSS68JI1h4Fo296JfGr,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485195f754318336a07e85ec59bc', 'width': 64}]",folklore,2020-07-24,day,16,spotify:album:2fenSS68JI1h4Fo296JfGr
"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DE', 'EC', 'EE', 'SV', 'FI', 'FR', 'GR', 'GT', 'HN', 'HK', 'HU', 'IS', 'IE', 'IT', 'LV', 'LT', 'LU', 'MY', 'MT', 'MX', 'NL', 'NZ', 'NI', 'NO', 'PA', 'PY', 'PE', 'PH', 'PL', 'PT', 'SG', 'SK', 'ES', 'SE', 'CH', 'TW', 'TR', 'UY', 'US', 'GB', 'AD', 'LI', 'MC', 'ID', 'JP', 'TH', 'VN', 'RO', 'IL', 'ZA', 'SA', 'AE', 'BH', 'QA', 'OM', 'KW', 'EG', 'MA', 'DZ', 'TN', 'LB', 'JO', 'PS', 'IN', 'BY', 'KZ', 'MD', 'UA', 'AL', 'BA', 'HR', 'ME', 'MK', 'RS', 'SI', 'KR', 'BD', 'PK', 'LK', 'GH', 'KE', 'NG', 'TZ', 'UG', 'AG', 'AM', 'BS', 'BB', 'BZ', 'BT', 'BW', 'BF', 'CV', 'CW', 'DM', 'FJ', 'GM', 'GE', 'GD', 'GW', 'GY', 'HT', 'JM', 'KI', 'LS', 'LR', 'MW', 'MV', 'ML', 'MH', 'FM', 'NA', 'NR', 'NE', 'PW', 'PG', 'WS', 'SM', 'ST', 'SN', 'SC', 'SL', 'SB', 'KN', 'LC', 'VC', 'SR', 'TL', 'TO', 'TT', 'TV', 'VU', 'AZ', 'BN', 'BI', 'KH', 'CM', 'TD', 'KM', 'GQ', 'SZ', 'GA', 'GN', 'KG', 'LA', 'MO', 'MR', 'MN', 'NP', 'RW', 'TG', 'UZ', 'ZW', 'BJ', 'MG', 'MU', 'MZ', 'AO', 'CI', 'DJ', 'ZM', 'CD', 'CG', 'IQ', 'LY', 'TJ', 'VE', 'ET', 'XK']",{'spotify': 'https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq'},https://api.spotify.com/v1/albums/1NAmidJlEaVgA3MpcPFYGq,1NAmidJlEaVgA3MpcPFYGq,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647', 'width': 64}]",Lover,2019-08-23,day,18,spotify:album:1NAmidJlEaVgA3MpcPFYGq
"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DE', 'EC', 'EE', 'SV', 'FI', 'FR', 'GR', 'GT', 'HN', 'HK', 'HU', 'IS', 'IE', 'IT', 'LV', 'LT', 'LU', 'MY', 'MT', 'MX', 'NL', 'NZ', 'NI', 'NO', 'PA', 'PY', 'PE', 'PH', 'PL', 'PT', 'SG', 'SK', 'ES', 'SE', 'CH', 'TW', 'TR', 'UY', 'US', 'GB', 'AD', 'LI', 'MC', 'ID', 'JP', 'TH', 'VN', 'RO', 'IL', 'ZA', 'SA', 'AE', 'BH', 'QA', 'OM', 'KW', 'EG', 'MA', 'DZ', 'TN', 'LB', 'JO', 'PS', 'IN', 'BY', 'KZ', 'MD', 'UA', 'AL', 'BA', 'HR', 'ME', 'MK', 'RS', 'SI', 'KR', 'BD', 'PK', 'LK', 'GH', 'KE', 'NG', 'TZ', 'UG', 'AG', 'AM', 'BS', 'BB', 'BZ', 'BT', 'BW', 'BF', 'CV', 'CW', 'DM', 'FJ', 'GM', 'GE', 'GD', 'GW', 'GY', 'HT', 'JM', 'KI', 'LS', 'LR', 'MW', 'MV', 'ML', 'MH', 'FM', 'NA', 'NR', 'NE', 'PW', 'PG', 'WS', 'SM', 'ST', 'SN', 'SC', 'SL', 'SB', 'KN', 'LC', 'VC', 'SR', 'TL', 'TO', 'TT', 'TV', 'VU', 'AZ', 'BN', 'BI', 'KH', 'CM', 'TD', 'KM', 'GQ', 'SZ', 'GA', 'GN', 'KG', 'LA', 'MO', 'MR', 'MN', 'NP', 'RW', 'TG', 'UZ', 'ZW', 'BJ', 'MG', 'MU', 'MZ', 'AO', 'CI', 'DJ', 'ZM', 'CD', 'CG', 'IQ', 'LY', 'TJ', 'VE', 'ET', 'XK']",{'spotify': 'https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv'},https://api.spotify.com/v1/albums/6DEjYFkNZh67HP7R9PSZvv,6DEjYFkNZh67HP7R9PSZvv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b', 'width': 64}]",reputation,2017-11-10,day,15,spotify:album:6DEjYFkNZh67HP7R9PSZvv
"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DE', 'EC', 'EE', 'SV', 'FI', 'FR', 'GR', 'GT', 'HN', 'HK', 'HU', 'IS', 'IE', 'IT', 'LV', 'LT', 'LU', 'MY', 'MT', 'MX', 'NL', 'NZ', 'NI', 'NO', 'PA', 'PY', 'PE', 'PH', 'PL', 'PT', 'SG', 'SK', 'ES', 'SE', 'CH', 'TW', 'TR', 'UY', 'US', 'GB', 'AD', 'LI', 'MC', 'ID', 'JP', 'TH', 'VN', 'RO', 'IL', 'ZA', 'SA', 'AE', 'BH', 'QA', 'OM', 'KW', 'EG', 'MA', 'DZ', 'TN', 'LB', 'JO', 'PS', 'IN', 'BY', 'KZ', 'MD', 'UA', 'AL', 'BA', 'HR', 'ME', 'MK', 'RS', 'SI', 'KR', 'BD', 'PK', 'LK', 'GH', 'KE', 'NG', 'TZ', 'UG', 'AG', 'AM', 'BS', 'BB', 'BZ', 'BT', 'BW', 'BF', 'CV', 'CW', 'DM', 'FJ', 'GM', 'GE', 'GD', 'GW', 'GY', 'HT', 'JM', 'KI', 'LS', 'LR', 'MW', 'MV', 'ML', 'MH', 'FM', 'NA', 'NR', 'NE', 'PW', 'PG', 'WS', 'SM', 'ST', 'SN', 'SC', 'SL', 'SB', 'KN', 'LC', 'VC', 'SR', 'TL', 'TO', 'TT', 'TV', 'VU', 'AZ', 'BN', 'BI', 'KH', 'CM', 'TD', 'KM', 'GQ', 'SZ', 'GA', 'GN', 'KG', 'LA', 'MO', 'MR', 'MN', 'NP', 'RW', 'TG', 'UZ', 'ZW', 'BJ', 'MG', 'MU', 'MZ', 'AO', 'CI', 'DJ', 'ZM', 'CD', 'CG', 'IQ', 'LY', 'TJ', 'VE', 'ET', 'XK']",{'spotify': 'https://open.spotify.com/album/1MPAXuTVL2Ej5x0JHiSPq8'},https://api.spotify.com/v1/albums/1MPAXuTVL2Ej5x0JHiSPq8,1MPAXuTVL2Ej5x0JHiSPq8,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27363d77f99117b28af9f656918', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0263d77f99117b28af9f656918', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485163d77f99117b28af9f656918', 'width': 64}]",reputation Stadium Tour Surprise Song Playlist,2017-11-09,day,46,spotify:album:1MPAXuTVL2Ej5x0JHiSPq8
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/34OkZVpuzBa9y40DCy0LPR'},https://api.spotify.com/v1/albums/34OkZVpuzBa9y40DCy0LPR,34OkZVpuzBa9y40DCy0LPR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273332d85510aba3eb28312cfb2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02332d85510aba3eb28312cfb2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851332d85510aba3eb28312cfb2', 'width': 64}]",1989 (Deluxe Edition),2014-10-27,day,19,spotify:album:34OkZVpuzBa9y40DCy0LPR
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/2QJmrSgbdM35R67eoGQo4j'},https://api.spotify.com/v1/albums/2QJmrSgbdM35R67eoGQo4j,2QJmrSgbdM35R67eoGQo4j,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e029abdf14e6058bd3903686148', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048519abdf14e6058bd3903686148', 'width': 64}]",1989,2014-10-27,day,13,spotify:album:2QJmrSgbdM35R67eoGQo4j
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/1KlU96Hw9nlvqpBPlSqcTV'},https://api.spotify.com/v1/albums/1KlU96Hw9nlvqpBPlSqcTV,1KlU96Hw9nlvqpBPlSqcTV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a7613d346501b828b56a0bc3', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02a7613d346501b828b56a0bc3', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851a7613d346501b828b56a0bc3', 'width': 64}]",Red (Deluxe Edition),2012-10-22,day,22,spotify:album:1KlU96Hw9nlvqpBPlSqcTV
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/1EoDsNmgTLtmwe1BDAVxV5'},https://api.spotify.com/v1/albums/1EoDsNmgTLtmwe1BDAVxV5,1EoDsNmgTLtmwe1BDAVxV5,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27396384c98ac4f3e7c2440f5b5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0296384c98ac4f3e7c2440f5b5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485196384c98ac4f3e7c2440f5b5', 'width': 64}]",Red,2012-10-22,day,16,spotify:album:1EoDsNmgTLtmwe1BDAVxV5
"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DE', 'EC', 'EE', 'SV', 'FI', 'FR', 'GR', 'GT', 'HN', 'HK', 'HU', 'IS', 'IE', 'IT', 'LV', 'LT', 'LU', 'MY', 'MT', 'MX', 'NL', 'NZ', 'NI', 'NO', 'PA', 'PY', 'PE', 'PH', 'PL', 'PT', 'SG', 'SK', 'ES', 'SE', 'CH', 'TW', 'TR', 'UY', 'US', 'GB', 'AD', 'LI', 'MC', 'ID', 'JP', 'TH', 'VN', 'RO', 'IL', 'ZA', 'SA', 'AE', 'BH', 'QA', 'OM', 'KW', 'EG', 'MA', 'DZ', 'TN', 'LB', 'JO', 'PS', 'IN', 'BY', 'KZ', 'MD', 'UA', 'AL', 'BA', 'HR', 'ME', 'MK', 'RS', 'SI', 'KR', 'BD', 'PK', 'LK', 'GH', 'KE', 'NG', 'TZ', 'UG', 'AG', 'AM', 'BS', 'BB', 'BZ', 'BT', 'BW', 'BF', 'CV', 'CW', 'DM', 'FJ', 'GM', 'GE', 'GD', 'GW', 'GY', 'HT', 'JM', 'KI', 'LS', 'LR', 'MW', 'MV', 'ML', 'MH', 'FM', 'NA', 'NR', 'NE', 'PW', 'PG', 'WS', 'SM', 'ST', 'SN', 'SC', 'SL', 'SB', 'KN', 'LC', 'VC', 'SR', 'TL', 'TO', 'TT', 'TV', 'VU', 'AZ', 'BN', 'BI', 'KH', 'CM', 'TD', 'KM', 'GQ', 'SZ', 'GA', 'GN', 'KG', 'LA', 'MO', 'MR', 'MN', 'NP', 'RW', 'TG', 'UZ', 'ZW', 'BJ', 'MG', 'MU', 'MZ', 'AO', 'CI', 'DJ', 'ZM', 'CD', 'CG', 'IQ', 'LY', 'TJ', 'VE', 'ET', 'XK']",{'spotify': 'https://open.spotify.com/album/6fyR4wBPwLHKcRtxgd4sGh'},https://api.spotify.com/v1/albums/6fyR4wBPwLHKcRtxgd4sGh,6fyR4wBPwLHKcRtxgd4sGh,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273be4ec62353ee75fa11f6d6f7', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02be4ec62353ee75fa11f6d6f7', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851be4ec62353ee75fa11f6d6f7', 'width': 64}]",Speak Now World Tour Live,2010-10-25,day,16,spotify:album:6fyR4wBPwLHKcRtxgd4sGh
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/5EpMjweRD573ASl7uNiHym'},https://api.spotify.com/v1/albums/5EpMjweRD573ASl7uNiHym,5EpMjweRD573ASl7uNiHym,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732e4ec3175d848eca7b76b07f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022e4ec3175d848eca7b76b07f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512e4ec3175d848eca7b76b07f', 'width': 64}]",Speak Now (Deluxe Edition),2010-10-25,day,20,spotify:album:5EpMjweRD573ASl7uNiHym
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/5MfAxS5zz8MlfROjGQVXhy'},https://api.spotify.com/v1/albums/5MfAxS5zz8MlfROjGQVXhy,5MfAxS5zz8MlfROjGQVXhy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e11a75a2f2ff39cec788a015', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e11a75a2f2ff39cec788a015', 'width': 64}]",Speak Now,2010-10-25,day,14,spotify:album:5MfAxS5zz8MlfROjGQVXhy
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/43OpbkiiIxJO8ktIB777Nn'},https://api.spotify.com/v1/albums/43OpbkiiIxJO8ktIB777Nn,43OpbkiiIxJO8ktIB777Nn,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27334e5885465afc8a497ac1b7e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0234e5885465afc8a497ac1b7e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485134e5885465afc8a497ac1b7e', 'width': 64}]",Fearless Platinum Edition,2008-11-11,day,19,spotify:album:43OpbkiiIxJO8ktIB777Nn
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/2dqn5yOQWdyGwOpOIi9O4x'},https://api.spotify.com/v1/albums/2dqn5yOQWdyGwOpOIi9O4x,2dqn5yOQWdyGwOpOIi9O4x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e027b25c072237f29ee50025fdc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048517b25c072237f29ee50025fdc', 'width': 64}]",Fearless,2008-11-11,day,13,spotify:album:2dqn5yOQWdyGwOpOIi9O4x
"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DK', 'DO', 'DE', 'EC', 'EE', 'SV', 'FI', 'FR', 'GR', 'GT', 'HN', 'HK', 'HU', 'IS', 'IE', 'IT', 'LV', 'LT', 'LU', 'MY', 'MT', 'MX', 'NL', 'NZ', 'NI', 'NO', 'PA', 'PY', 'PE', 'PH', 'PL', 'PT', 'SG', 'SK', 'ES', 'SE', 'CH', 'TW', 'TR', 'UY', 'US', 'GB', 'AD', 'LI', 'MC', 'ID', 'JP', 'TH', 'VN', 'RO', 'IL', 'ZA', 'SA', 'AE', 'BH', 'QA', 'OM', 'KW', 'EG', 'MA', 'DZ', 'TN', 'LB', 'JO', 'PS', 'IN', 'BY', 'KZ', 'MD', 'UA', 'AL', 'BA', 'HR', 'ME', 'MK', 'RS', 'SI', 'KR', 'BD', 'PK', 'LK', 'GH', 'KE', 'NG', 'TZ', 'UG', 'AG', 'AM', 'BS', 'BB', 'BZ', 'BT', 'BW', 'BF', 'CV', 'CW', 'DM', 'FJ', 'GM', 'GE', 'GD', 'GW', 'GY', 'HT', 'JM', 'KI', 'LS', 'LR', 'MW', 'MV', 'ML', 'MH', 'FM', 'NA', 'NR', 'NE', 'PW', 'PG', 'WS', 'SM', 'ST', 'SN', 'SC', 'SL', 'SB', 'KN', 'LC', 'VC', 'SR', 'TL', 'TO', 'TT', 'TV', 'VU', 'AZ', 'BN', 'BI', 'KH', 'CM', 'TD', 'KM', 'GQ', 'SZ', 'GA', 'GN', 'KG', 'LA', 'MO', 'MR', 'MN', 'NP', 'RW', 'TG', 'UZ', 'ZW', 'BJ', 'MG', 'MU', 'MZ', 'AO', 'CI', 'DJ', 'ZM', 'CD', 'CG', 'IQ', 'LY', 'TJ', 'VE', 'ET', 'XK']",{'spotify': 'https://open.spotify.com/album/1ycoesYxIFymXWebfmz828'},https://api.spotify.com/v1/albums/1ycoesYxIFymXWebfmz828,1ycoesYxIFymXWebfmz828,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c031e8322b3e8684536ed6d0', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c031e8322b3e8684536ed6d0', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c031e8322b3e8684536ed6d0', 'width': 64}]",Live From Clear Channel Stripped 2008,2008-06-28,day,8,spotify:album:1ycoesYxIFymXWebfmz828
"['CA', 'US']",{'spotify': 'https://open.spotify.com/album/7mzrIsaAjnXihW3InKjlC3'},https://api.spotify.com/v1/albums/7mzrIsaAjnXihW3InKjlC3,7mzrIsaAjnXihW3InKjlC3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e022f8c0fd72a80a93f8c53b96c', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048512f8c0fd72a80a93f8c53b96c', 'width': 64}]",Taylor Swift,2006-10-24,day,15,spotify:album:7mzrIsaAjnXihW3InKjlC3
